BirthRate,Business Tax Rate,CO2 Emissions,Above Threshold?,GDP per Capita,Birth Rate Bin,LifeExpectancy,Ease of Business (clusters),Country,Days to Start Business,Ease of Business,Energy Usage,GDP per Capita (bin),GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,InfantMortalityRate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Number of Records,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Region,Tourism Inbound,Tourism Outbound,Year
1.70%,,2769,Below Threshold,"$3,861 ",1.5-3%,72,Very Friendly,Mauritius,,,,$0 ,$5B,3.70%,$146 ,,1.60%,7%,0.208,75,68,15%,1,26%,68%,0.061,1.2M,42.70%,Africa,$1B,$0B,12/1/2000
2.20%,,33905,Below Threshold,"$1,289 ",1.5-3%,69,Friendly,Morocco,,,10238,$0 ,$37B,4.20%,$54 ,,4.30%,1%,0.133,70,67,8%,1,34%,61%,0.047,28.7M,53.30%,Africa,$2B,$1B,12/1/2000
4.40%,,1349,Below Threshold,$236 ,Above 3%,48,Moderate,Mozambique,,,7173,$0 ,$4B,6.20%,$15 ,,11.40%,0%,0.19,49,46,0%,1,44%,53%,0.032,18.3M,29.10%,Africa,$0B,$0B,12/1/2000
3.20%,,1643,Below Threshold,"$2,059 ",Above 3%,55,Friendly,Namibia,,,978,$0 ,$4B,6.10%,$126 ,,4.90%,2%,0.153,57,53,4%,1,41%,56%,0.033,1.9M,32.40%,Africa,$0B,$0B,12/1/2000
5.30%,,796,Below Threshold,$164 ,Above 3%,51,Low,Niger,,,,$0 ,$2B,6.40%,$10 ,,10.10%,0%,,51,51,0%,1,48%,50%,0.025,11.0M,16.20%,Africa,$0B,$0B,12/1/2000
4.30%,,79182,Below Threshold,$378 ,Above 3%,47,Moderate,Nigeria,,,90596,$0 ,$46B,4.60%,$17 ,,11.30%,0%,0.213,47,46,0%,1,44%,54%,0.028,122.9M,34.80%,Africa,$0B,$1B,12/1/2000
4.10%,,686,Below Threshold,$207 ,Above 3%,48,Friendly,Rwanda,,,,$0 ,$2B,4.20%,$9 ,,10.80%,0%,0.17,49,47,1%,1,47%,51%,0.03,8.4M,14.90%,Africa,$0B,$0B,12/1/2000
3.60%,,48,Below Threshold,$550 ,Above 3%,64,Low,Sao Tome and Principe,,,,$0 ,$0B,8.90%,$46 ,,5.80%,5%,0.397,65,62,,1,44%,52%,0.04,0.1M,53.40%,Africa,$0B,$0B,12/1/2000
4.00%,,3938,Below Threshold,$475 ,Above 3%,58,Low,Senegal,,,2398,$0 ,$5B,4.60%,$22 ,,6.90%,0%,,59,56,3%,1,45%,52%,0.032,9.9M,40.30%,Africa,$0B,$0B,12/1/2000
1.90%,,565,Below Threshold,"$7,579 ",1.5-3%,,Friendly,Seychelles,,,,"$4,688 ",$1B,4.80%,$371 ,,1.20%,7%,0.107,,,33%,1,28%,64%,0.081,0.1M,50.10%,Africa,$0B,$0B,12/1/2000
4.40%,,425,Above Threshold,$154 ,Above 3%,38,Moderate,Sierra Leone,,,,$0 ,$1B,18.40%,$28 ,,14.10%,0%,0.263,39,37,0%,1,43%,55%,0.025,4.1M,35.60%,Africa,$0B,$0B,12/1/2000
4.90%,,517,Below Threshold,,Above 3%,51,Not Clustered,Somalia,,,,,,,,,10.50%,0%,,52,49,1%,1,47%,50%,0.029,7.4M,33.20%,Africa,,,12/1/2000
2.40%,,368611,Below Threshold,"$3,020 ",1.5-3%,56,Very Friendly,South Africa,,,109264,$0 ,$133B,8.30%,$246 ,,5.20%,5%,0.145,58,54,19%,1,33%,64%,0.034,44.0M,56.90%,Africa,$3B,$3B,12/1/2000
4.30%,,,Below Threshold,,Above 3%,49,Low,South Sudan,,,,,,,,,11.00%,,,50,48,,1,45%,52%,0.03,6.7M,16.50%,Africa,,,12/1/2000
4.00%,,5534,Below Threshold,$442 ,Above 3%,58,Moderate,Sudan,,,13340,$0 ,$12B,3.40%,$15 ,,6.90%,0%,,60,56,0%,1,44%,53%,0.03,27.7M,32.50%,Africa,$0B,$0B,12/1/2000
3.30%,,1188,Below Threshold,"$1,433 ",Above 3%,49,Moderate,Swaziland,,,,$0 ,$2B,5.30%,$75 ,,8.00%,1%,0.14,49,48,3%,1,45%,52%,0.029,1.1M,22.70%,Africa,$0B,$0B,12/1/2000
4.20%,,2651,Below Threshold,$299 ,Above 3%,50,Moderate,Tanzania,,,13390,$0 ,$10B,3.40%,$10 ,,8.00%,0%,0.216,51,49,0%,1,45%,52%,0.029,34.0M,22.30%,Africa,$0B,$0B,12/1/2000
3.90%,,1357,Below Threshold,$266 ,Above 3%,54,Low,Togo,,,2111,$0 ,$1B,5.30%,$14 ,,7.70%,1%,,54,53,1%,1,44%,53%,0.029,4.9M,32.90%,Africa,$0B,$0B,12/1/2000
1.70%,,19923,Below Threshold,"$2,245 ",1.5-3%,73,Very Friendly,Tunisia,,,7306,$0 ,$21B,5.40%,$123 ,,2.60%,3%,,75,71,1%,1,30%,64%,0.06,9.6M,63.40%,Africa,$2B,$0B,12/1/2000
4.80%,,1533,Below Threshold,$255 ,Above 3%,48,Moderate,Uganda,,,,$0 ,$6B,6.60%,$16 ,,8.90%,0%,0.229,48,48,1%,1,49%,48%,0.027,24.3M,12.10%,Africa,$0B,,12/1/2000
4.50%,,1819,Below Threshold,$322 ,Above 3%,42,Friendly,Zambia,,,6244,$0 ,$3B,5.60%,$18 ,,10.00%,0%,0.388,42,42,1%,1,46%,52%,0.027,10.1M,34.80%,Africa,$0B,$0B,12/1/2000
3.20%,,13887,Below Threshold,$535 ,Above 3%,44,Low,Zimbabwe,,,9865,$0 ,$7B,,,,6.10%,0%,0.682,44,44,2%,1,42%,55%,0.034,12.5M,33.80%,Africa,$0B,,12/1/2000
5.00%,,781,Below Threshold,,Above 3%,55,Low,Afghanistan,,,,,,,,,9.50%,,,56,54,,1,50%,49%,0.02,20.6M,21.30%,Asia,,,12/1/2000
1.30%,,3465,Below Threshold,$621 ,Below 1.5%,72,Very Friendly,Armenia,,,2015,$0 ,$2B,6.30%,$39 ,,2.70%,1%,0.316,75,68,1%,1,26%,64%,0.1,3.1M,64.70%,Asia,$0B,$0B,12/1/2000
1.50%,,29508,Below Threshold,$655 ,1.5-3%,67,Friendly,Azerbaijan,,,11296,$0 ,$5B,4.70%,$30 ,,6.10%,0%,0.197,70,64,5%,1,31%,63%,0.056,8.0M,51.40%,Asia,$0B,$0B,12/1/2000
2.70%,,27869,Below Threshold,$356 ,1.5-3%,66,Moderate,Bangladesh,,,18591,$0 ,$47B,2.80%,$10 ,,6.40%,0%,0.155,66,65,0%,1,37%,59%,0.041,132.4M,23.60%,Asia,$0B,$0B,12/1/2000
2.80%,,400,Below Threshold,$778 ,1.5-3%,60,Low,Bhutan,,,,$0 ,$0B,6.70%,$52 ,,5.90%,0%,0.16,60,60,,1,41%,56%,0.038,0.6M,25.40%,Asia,$0B,,12/1/2000
2.30%,,6527,Below Threshold,"$18,087 ",1.5-3%,76,Friendly,Brunei Darussalam,,,2385,"$14,064 ",$6B,3.00%,$543 ,,0.80%,9%,0.055,78,74,29%,1,30%,67%,0.028,0.3M,71.20%,Asia,,,12/1/2000
2.80%,,1977,Below Threshold,$299 ,1.5-3%,62,Moderate,Cambodia,,,3412,$0 ,$4B,6.30%,$19 ,,8.20%,0%,,65,59,1%,1,41%,55%,0.038,12.2M,18.60%,Asia,$0B,$0B,12/1/2000
1.40%,,3405180,Below Threshold,$949 ,Below 1.5%,73,Friendly,China,,,1161353,$0 ,"$1,198B",4.60%,$43 ,,3.00%,2%,0.059,74,71,7%,1,26%,68%,0.069,"1,262.6M",35.90%,Asia,$17B,$14B,12/1/2000
1.20%,,4536,Below Threshold,$692 ,Below 1.5%,72,Very Friendly,Georgia,,,2869,$0 ,$3B,6.90%,$45 ,,3.10%,1%,0.247,75,68,4%,1,22%,66%,0.125,4.4M,52.60%,Asia,$0B,$0B,12/1/2000
0.80%,,40465,Below Threshold,"$25,757 ",Below 1.5%,81,Very Friendly,"Hong Kong SAR, China",,,13392,"$23,440 ",$172B,,,,,28%,0.095,84,78,80%,1,17%,72%,0.11,6.7M,100.00%,Asia,$8B,$13B,12/1/2000
2.60%,,1186663,Below Threshold,$457 ,1.5-3%,62,Moderate,India,,,457198,$0 ,$477B,4.30%,$20 ,,6.70%,1%,0.123,63,61,0%,1,34%,61%,0.044,"1,042.3M",27.70%,Asia,$4B,$4B,12/1/2000
2.20%,,263419,Below Threshold,$790 ,1.5-3%,67,Moderate,Indonesia,,,154768,$0 ,$165B,2.00%,$15 ,,4.10%,1%,0.185,69,65,2%,1,31%,65%,0.047,208.9M,42.00%,Asia,$5B,$3B,12/1/2000
0.90%,,1219589,Below Threshold,"$37,292 ",Below 1.5%,82,Very Friendly,Japan,,,518964,"$32,816 ","$4,731B",7.60%,"$2,834 ",,0.30%,30%,0.021,85,78,53%,1,15%,68%,0.172,126.9M,78.60%,Asia,$6B,$43B,12/1/2000
1.50%,,127769,Below Threshold,"$1,229 ",1.5-3%,66,Friendly,Kazakhstan,,,35679,$0 ,$18B,4.20%,$52 ,,3.80%,1%,,71,60,1%,1,28%,66%,0.068,14.9M,55.70%,Asia,$0B,$0B,12/1/2000
1.80%,,76699,Below Threshold,,1.5-3%,65,Not Clustered,"Korea, Dem. Rep.",,,19717,,,,,,4.50%,,,69,61,,1,26%,68%,0.059,22.8M,59.40%,Asia,,,12/1/2000
1.30%,,447561,Below Threshold,"$11,948 ",Below 1.5%,76,Very Friendly,"Korea, Rep.",,,188161,"$9,376 ",$562B,4.30%,$491 ,,0.50%,45%,0.085,80,72,58%,1,21%,72%,0.073,47.0M,79.60%,Asia,$9B,$8B,12/1/2000
2.00%,,4529,Below Threshold,$280 ,1.5-3%,69,Friendly,Kyrgyz Republic,,,2317,$0 ,$1B,4.70%,$13 ,,4.20%,1%,0.519,72,65,0%,1,35%,60%,0.055,4.9M,35.30%,Asia,$0B,$0B,12/1/2000
3.10%,,972,Below Threshold,$321 ,Above 3%,62,Low,Lao PDR,,,,$0 ,$2B,3.30%,$11 ,,8.30%,0%,0.32,63,60,0%,1,44%,53%,0.036,5.4M,22.00%,Asia,$0B,$0B,12/1/2000
0.90%,,1635,Below Threshold,"$14,128 ",Below 1.5%,78,Not Clustered,"Macao SAR, China",,,,"$14,064 ",$6B,,,,,14%,0.099,80,75,33%,1,23%,70%,0.074,0.4M,100.00%,Asia,$3B,,12/1/2000
2.30%,,126603,Below Threshold,"$4,005 ",1.5-3%,73,Very Friendly,Malaysia,,,47110,$0 ,$94B,3.00%,$120 ,,0.90%,21%,0.077,75,71,22%,1,33%,63%,0.038,23.4M,62.00%,Asia,$6B,$3B,12/1/2000
2.50%,,499,Below Threshold,"$2,289 ",1.5-3%,70,Friendly,Maldives,,,,$0 ,$1B,7.10%,$162 ,,3.50%,2%,0.13,70,69,3%,1,41%,55%,0.038,0.3M,27.70%,Asia,$0B,$0B,12/1/2000
1.90%,,7506,Below Threshold,$474 ,1.5-3%,63,Friendly,Mongolia,,,2397,$0 ,$1B,4.70%,$22 ,,4.90%,1%,0.37,66,60,6%,1,35%,62%,0.037,2.4M,57.10%,Asia,$0B,$0B,12/1/2000
2.10%,,10088,Below Threshold,,1.5-3%,62,Low,Myanmar,,,12841,,,2.10%,$3 ,,5.90%,,0.153,64,60,0%,1,31%,65%,0.047,48.5M,27.00%,Asia,$0B,$0B,12/1/2000
3.30%,,3234,Below Threshold,$237 ,Above 3%,62,Moderate,Nepal,,,8108,$0 ,$5B,5.00%,$12 ,,6.00%,0%,0.095,63,61,0%,1,40%,56%,0.038,23.2M,13.40%,Asia,$0B,$0B,12/1/2000
3.10%,,106449,Below Threshold,$514 ,Above 3%,64,Moderate,Pakistan,,,64067,$0 ,$74B,3.00%,$15 ,,8.80%,,,65,63,0%,1,42%,55%,0.039,143.8M,33.20%,Asia,$1B,$1B,12/1/2000
3.00%,,73307,Below Threshold,"$1,043 ",Above 3%,67,Moderate,Philippines,,,39872,$0 ,$81B,3.20%,$33 ,,3.00%,2%,0.109,70,64,8%,1,39%,58%,0.032,77.7M,48.00%,Asia,$2B,$2B,12/1/2000
1.20%,,49006,Below Threshold,"$23,793 ",Below 1.5%,78,Very Friendly,Singapore,,,18692,"$23,440 ",$96B,2.70%,$662 ,,0.30%,36%,0.058,80,76,70%,1,22%,71%,0.073,4.0M,100.00%,Asia,$5B,$5B,12/1/2000
1.80%,,10161,Below Threshold,$855 ,1.5-3%,72,Friendly,Sri Lanka,,,8327,$0 ,$16B,3.70%,$32 ,,1.40%,1%,0.162,75,68,2%,1,27%,67%,0.063,19.1M,18.40%,Asia,$0B,$0B,12/1/2000
3.00%,,2237,Below Threshold,$139 ,Above 3%,64,Moderate,Tajikistan,,,2149,$0 ,$1B,4.60%,$6 ,,7.50%,0%,0.256,68,60,0%,1,43%,54%,0.035,6.2M,26.50%,Asia,,,12/1/2000
1.50%,,188355,Below Threshold,"$1,969 ",1.5-3%,71,Very Friendly,Thailand,,,72284,$0 ,$123B,3.40%,$67 ,,1.90%,4%,0.078,75,67,5%,1,24%,69%,0.066,62.3M,31.40%,Asia,$10B,$3B,12/1/2000
4.30%,,,Below Threshold,$410 ,Above 3%,60,Low,Timor-Leste,,,,$0 ,$0B,5.10%,$19 ,,8.40%,,,61,58,,1,50%,48%,0.024,0.9M,24.30%,Asia,,,12/1/2000
2.40%,,35365,Below Threshold,$645 ,1.5-3%,64,Not Clustered,Turkmenistan,,,14871,$0 ,$3B,3.90%,$44 ,,6.60%,0%,,68,60,0%,1,36%,59%,0.043,4.5M,45.90%,Asia,,,12/1/2000
2.10%,,119951,Below Threshold,$558 ,1.5-3%,67,Low,Uzbekistan,,,50757,$0 ,$14B,5.30%,$29 ,,5.30%,1%,,70,64,0%,1,37%,58%,0.043,24.7M,37.40%,Asia,$0B,,12/1/2000
1.70%,,53645,Below Threshold,$433 ,1.5-3%,74,Friendly,Vietnam,,,28736,$0 ,$34B,5.30%,$20 ,,2.70%,0%,0.106,78,69,1%,1,32%,62%,0.064,77.6M,24.40%,Asia,,,12/1/2000
1.90%,,3022,Below Threshold,"$1,193 ",1.5-3%,74,Friendly,Albania,,,1763,$0 ,$4B,6.40%,$70 ,,2.30%,0%,0.221,77,71,1%,1,30%,63%,0.068,3.1M,41.70%,Europe,$0B,$0B,12/1/2000
1.10%,,524,Below Threshold,"$17,334 ",Below 1.5%,,Not Clustered,Andorra,,,,"$14,064 ",$1B,6.20%,"$1,330 ",,0.40%,11%,,,,36%,1,,,,0.1M,92.40%,Europe,,,12/1/2000
1.00%,,63696,Below Threshold,"$23,974 ",Below 1.5%,78,Very Friendly,Austria,,,28558,"$23,440 ",$192B,10.00%,"$2,403 ",,0.50%,34%,,81,75,76%,1,17%,68%,0.155,8.0M,65.80%,Europe,$11B,$7B,12/1/2000
0.90%,,53469,Below Threshold,"$1,273 ",Below 1.5%,69,Friendly,Belarus,,,24695,$0 ,$13B,6.10%,$64 ,,1.10%,2%,0.677,75,63,1%,1,19%,68%,0.134,10.0M,70.00%,Europe,$0B,$0B,12/1/2000
1.10%,,115709,Below Threshold,"$22,697 ",Below 1.5%,78,Very Friendly,Belgium,,,58508,"$18,752 ",$233B,8.10%,"$1,845 ",,0.50%,29%,0.08,81,75,55%,1,18%,66%,0.169,10.3M,97.10%,Europe,$7B,$9B,12/1/2000
1.00%,,23223,Below Threshold,"$1,436 ",Below 1.5%,75,Moderate,Bosnia and Herzegovina,,,4346,$0 ,$6B,7.10%,$103 ,,0.80%,1%,0.305,77,72,2%,1,20%,69%,0.107,3.8M,39.30%,Europe,$0B,$0B,12/1/2000
0.90%,,43531,Below Threshold,"$1,579 ",Below 1.5%,72,Friendly,Bulgaria,,,18688,$0 ,$13B,6.20%,$98 ,,1.80%,5%,0.113,75,68,9%,1,16%,68%,0.166,8.2M,68.90%,Europe,$1B,$1B,12/1/2000
1.00%,,19644,Below Threshold,"$4,862 ",Below 1.5%,73,Friendly,Croatia,,,7790,"$4,688 ",$22B,7.80%,$377 ,,0.70%,7%,0.121,77,69,23%,1,17%,67%,0.156,4.4M,55.60%,Europe,$3B,$1B,12/1/2000
1.30%,,6850,Below Threshold,"$9,875 ",Below 1.5%,78,Very Friendly,Cyprus,,,2137,"$9,376 ",$9B,5.80%,$744 ,,0.60%,15%,0.08,80,76,23%,1,22%,67%,0.102,0.9M,68.60%,Europe,$2B,$1B,12/1/2000
0.90%,,124649,Below Threshold,"$5,734 ",Below 1.5%,75,Friendly,Czech Republic,,,40993,"$4,688 ",$59B,6.30%,$361 ,,0.60%,10%,0.072,78,72,42%,1,17%,70%,0.138,10.3M,74.00%,Europe,$3B,$1B,12/1/2000
1.30%,,47260,Below Threshold,"$29,980 ",Below 1.5%,77,Very Friendly,Denmark,,,18634,"$28,128 ",$160B,8.70%,"$2,613 ",,0.50%,39%,0.081,79,74,63%,1,19%,67%,0.149,5.3M,85.10%,Europe,$4B,$5B,12/1/2000
1.00%,,15181,Below Threshold,"$4,063 ",Below 1.5%,71,Very Friendly,Estonia,,,4715,$0 ,$6B,5.30%,$213 ,,0.90%,29%,0.074,76,65,41%,1,18%,67%,0.152,1.4M,69.40%,Europe,$1B,$0B,12/1/2000
,,711,Below Threshold,"$22,850 ",Above 3%,79,Not Clustered,Faeroe Islands,,,,"$18,752 ",$1B,,,,,33%,,82,76,37%,1,,,,0.0M,36.30%,Europe,,,12/1/2000
1.10%,,52141,Below Threshold,"$23,530 ",Below 1.5%,78,Very Friendly,Finland,,,32233,"$23,440 ",$122B,7.20%,"$1,700 ",,0.40%,37%,0.056,81,74,72%,1,18%,67%,0.149,5.2M,82.20%,Europe,$2B,$2B,12/1/2000
1.30%,,365560,Below Threshold,"$21,775 ",Below 1.5%,79,Very Friendly,France,,,251981,"$18,752 ","$1,326B",10.10%,"$2,209 ",,0.40%,14%,0.067,83,75,49%,1,19%,65%,0.16,60.9M,75.90%,Europe,$39B,$27B,12/1/2000
0.90%,,829978,Below Threshold,"$22,946 ",Below 1.5%,78,Very Friendly,Germany,,,336584,"$18,752 ","$1,886B",10.40%,"$2,387 ",,0.40%,30%,0.096,81,75,58%,1,16%,68%,0.163,82.2M,73.10%,Europe,$25B,$58B,12/1/2000
1.00%,,91616,Below Threshold,"$11,396 ",Below 1.5%,78,Friendly,Greece,,,27086,"$9,376 ",$124B,7.90%,$918 ,,0.70%,9%,0.123,81,75,54%,1,15%,68%,0.168,10.9M,72.70%,Europe,$9B,$5B,12/1/2000
1.00%,,57238,Below Threshold,"$4,543 ",Below 1.5%,72,Friendly,Hungary,,,24999,$0 ,$46B,7.20%,$326 ,,1.00%,7%,0.126,76,67,30%,1,17%,68%,0.151,10.2M,64.60%,Europe,$4B,$2B,12/1/2000
1.40%,,2164,Below Threshold,"$30,929 ",Below 1.5%,80,Very Friendly,Iceland,,,3100,"$28,128 ",$9B,9.50%,"$2,961 ",,0.30%,45%,0.168,82,78,76%,1,23%,65%,0.116,0.3M,92.40%,Europe,$0B,$0B,12/1/2000
1.40%,,41345,Below Threshold,"$25,579 ",Below 1.5%,77,Very Friendly,Ireland,,,13574,"$23,440 ",$97B,6.10%,"$1,572 ",,0.60%,18%,0.048,79,74,65%,1,22%,67%,0.112,3.8M,59.10%,Europe,$4B,$3B,12/1/2000
,,,Below Threshold,"$20,359 ",Above 3%,,Not Clustered,Isle of Man,,,,"$18,752 ",$2B,,,,,,,,,,1,,,,0.1M,51.80%,Europe,,,12/1/2000
1.00%,,451441,Below Threshold,"$19,388 ",Below 1.5%,80,Friendly,Italy,,,171522,"$18,752 ","$1,104B",7.90%,"$1,527 ",,0.50%,23%,0.07,83,77,74%,1,14%,67%,0.183,56.9M,67.20%,Europe,$29B,$18B,12/1/2000
